Rank,Metals Industry,Number Of Employees,"Change In 
 Rank",Industry,Company Description,"Revenues
 ($millions)","Revenue 
 Change","Profits
 ($millions)","Profit 
 Change","Assets
 ($millions)","Market Value 
 As of 3/31/20 ($m)"
157.0,Marriott International,174000.0,-6.0,Hospitality Company,"Marriott International, Inc. Is An American Multinational Diversified Hospitality Company That Manages And Franchises A Broad Portfolio Of Hotels And Related Lodging Facilities.",20972.0,0.01,1273.0,-0.332,25051.0,24255.0
158.0,Manpowergroup,28000.0,-17.0,Staffing Firm,"Manpowergroup Is The Third-largest Staffing Firm In The World . The Company Provides Administrative & Support Services, Professional Services, And Business Services Through Its Four Primary Brands: Manpower (contingent Staffing & Permanent Recruitment), Experis (professional Resourcing And Project-based Solutions), Right Management (career Management, Workforce Consulting, And Training & Development), And Manpowergroup Solutions (managed Services And Outsourcing)",20864.0,-0.051,465.7,-0.163,9224.0,3109.0
159.0,Bank Of New York Mellon,48400.0,4.0,Investment Banking,"Bny Mellon, Is An American Investment Banking Services Holding Company . It Is The World's Largest Custodian Bank And Asset Servicing Company, With $2.0 Trillion In Assets Under Management And $38.6 Trillion In Assets Under Custody As Of The Second Quarter Of 2020.",20822.0,0.084,4441.0,0.041,381508.0,29809.0
160.0,Hartford Financial Services Group,19500.0,1.0,Financial Services Company,It Is A United States-based Investment And Insurance Company.,20740.0,0.046,2085.0,0.154,70817.0,12625.0
161.0,Danaher,60000.0,-1.0,Conglomerate Company,"It Is An American Globally Diversified Conglomerate. The Company Designs, Manufactures, And Markets Professional, Medical, Industrial, And Commercial Products And Services. The Company's 4 Platforms Are ""life Sciences"", ""diagnostics"", ""water Quality"", And ""environmental & Applied Solutions"".",20521.0,0.032,3008.2,0.135,62082.0,96457.0
162.0,Whirlpool,77000.0,-14.0,Home Appliance Company,It Is A Multinational Manufacturer And Marketer Of Home Appliances,20419.0,-0.029,1184.0,-,18881.0,5378.0
163.0,Aecom,86000.0,-6.0,Multinational Engineering Firm,"Aecom Provides Archaeology, Architecture & Design, Asset Management, Construction, Cost Management, Decommissioning & Closure, Economics, Engineering, Environmental Services, International Development, It & Cyber Security, Operations & Maintenance, Planning & Consulting, Program, Management/construction Management, Risk Management & Resilience And Technical Services",20173.0,0.001,-261.1,-2.913,14462.0,4735.0
164.0,Netflix,8600.0,33.0,Production Company,"Netflix, Inc. Is An American Over-the-top Content Platform And Production Company.",20156.0,0.276,1866.9,0.541,33976.0,164772.0
165.0,Kohl's,79500.0,-9.0,Department Store Company,Kohl's Is The Largest Department Store Chain In The United States,19974.0,-0.013,691.0,-0.137,14555.0,2265.0
166.0,Lear,164100.0,-19.0,Manufacturing Company,Lear Corporation Is An American Company That Manufactures Automotive Seating And Automotive Electrical Systems.,19810.0,-0.063,753.6,-0.345,12681.0,4913.0
167.0,Altria Group,7300.0,-5.0,Tobacco Company,"Altria Group, Inc. Is The World's Largest Producers And Marketers Of Tobacco, Cigarettes And Related Products. ",19796.0,0.009,-1293.0,-1.186,49271.0,71863.0
168.0,"
performance Food Group",18000.0,8.0,Food Products," The Company Distributes A Range Of Food Products. It Has Three Divisions, Each Catering To Specific Market Segments: Performance Foodservice, Vistar, And Pfg Customized.",19744.0,0.121,166.8,-0.161,4654.0,2897.0
169.0,Avnet,15500.0,-4.0,Electronic Components,"Avnet Is A Global Leader Of Electronic Components And Services, Guiding Makers And Manufacturers From Design To Delivery.",19519.0,0.025,176.3,-,8565.0,2506.0
170.0,Synchrony Financial,16500.0,3.0,Financial Services,"Synchrony Financial Is A Consumer Financial Services Company. The Company Offers Consumer Financing Products, Including Credit, Promotional Financing And Loyalty Programs, Installment Lending To Industries, And Fdic-insured Consumer Savings Products.",19461.0,0.066,3747.0,0.343,104826.0,9871.0
171.0,Genuine Parts,55000.0,-2.0,Automotive,"The Organization Is Engaged In The Distribution Of Automotive Replacement Parts, Industrial Replacement Parts, Office Products And Electrical/electronic Materials.",19392.0,0.035,621.1,-0.234,14646.0,9789.0
172.0,Nextera Energy,14800.0,12.0,Electric Services,"Nextera Energy, Inc. Is An American Energy Company With About 46 Gigawatts Of Generating Capacity. It Is The World's Largest Generator Of Renewable Energy From The Wind And Sun. In Addition To Wind And Solar, Nextera Energy Resources Owns And Operates Generating Plants Powered By Natural Gas, Nuclear Energy, And Oil.",19204.0,0.148,3769.0,-0.432,117691.0,117655.0
173.0,Carmax,25946.0,1.0,Automotive,Carmax Is America's Largest Used-car Retailer .,19146.0,0.065,842.4,0.268,18718.0,8795.0
174.0,Tenet Healthcare,101104.0,-2.0,Healthcare Company,Tenet Healthcare Corporation Is A Multinational Investor-owned Healthcare Services Company. The Company Operates 65 Hospitals And Approximately 500 Other Healthcare Facilities.,18479.0,0.009,-232.0,-3.09,23351.0,1502.0
175.0,Kimberly-clark,40000.0,-4.0,Manufacturing Company,Kimberly-clark Corporation Is An American Multinational Personal Care Corporation That Produces Mostly Paper-based Consumer Products. The Company Manufactures Sanitary Paper Products And Surgical & Medical Instruments.,18450.0,-0.002,2157.0,0.53,15283.0,43663.0
176.0,Emerson Electric,88000.0,2.0,Manufacturing Company,"It Manufactures Products And Provides Engineering Services For A Wide Range Of Industrial, Commercial, And Consumer Markets",18372.0,0.055,2306.0,0.047,20497.0,29154.0
177.0,Westrock,51100.0,13.0,Packaging Company,Westrock Is An American Corrugated Packaging Company. It Is The 2nd Largest American Packaging Company. ,18289.0,0.123,862.9,-0.547,30157.0,7304.0
178.0,Cdw,9900.0,13.0,Technology Products,"It Is A Provider Of Technology Products And Services For Business, Government And Education.",18032.0,0.11,736.8,0.146,7999.0,13316.0
179.0,Jones Lang Lasalle,93400.0,10.0,Real Estate,It Is An American Commercial Real Estate Services Company With Offices In Several Countries.,17983.0,0.102,535.3,0.105,13673.0,5207.0
